ts,cpu_percent,memory_percent,memory_used_mb,memory_total_mb,tcp_established,bytes_sent,bytes_recv,network_usage_percent
1763322456,0.0,87.8,14325.06,16306.3,13,17909095591,45681350802,0.0
1763322457,10.7,87.9,14333.48,16306.3,13,17909098550,45681351788,0.0
1763322458,12.2,87.9,14333.19,16306.3,13,17909107242,45681988381,0.5
1763322459,9.7,87.9,14334.17,16306.3,13,17909107508,45681988643,0.0
1763322460,9.3,87.9,14333.91,16306.3,13,17909107582,45681988745,0.0
1763322461,9.4,87.9,14334.3,16306.3,13,17909107624,45681988925,0.0
1763322462,11.0,87.9,14333.21,16306.3,13,17909107698,45681989027,0.0
1763322463,10.0,87.9,14332.46,16306.3,13,17909107772,45681989135,0.0
1763322464,9.2,87.9,14332.17,16306.3,13,17909117756,45682755958,0.6
1763322465,10.0,87.8,14324.47,16306.3,13,17909117830,45682756060,0.0
1763322466,9.9,87.8,14311.72,16306.3,13,17909122676,45682756437,0.0
1763322467,9.9,87.8,14312.8,16306.3,12,17909123084,45682757241,0.0
1763322468,18.0,88.0,14346.22,16306.3,12,17909123158,45682757342,0.0
1763322469,20.8,89.0,14518.57,16306.3,14,17909140178,45682783437,0.0
1763322470,19.3,89.8,14647.93,16306.3,16,17909168543,45683592727,0.7
1763322471,18.8,89.7,14621.95,16306.3,16,17909168651,45683593585,0.0
1763322472,17.5,89.6,14613.42,16306.3,16,17909168873,45683593941,0.0
1763322473,17.6,89.6,14611.21,16306.3,16,17909168947,45683594043,0.0
1763322474,20.2,89.7,14628.29,16306.3,16,17909169183,45683594269,0.0
1763322475,25.7,90.0,14668.1,16306.3,16,17909180504,45684504920,0.7
1763322476,23.9,90.0,14676.66,16306.3,16,17909186282,45684506328,0.0
1763322477,20.6,90.2,14713.91,16306.3,16,17909186430,45684506532,0.0
1763322478,32.8,90.6,14767.28,16306.3,16,17909186504,45684506634,0.0
1763322479,28.7,90.7,14794.01,16306.3,17,17909191760,45684514990,0.0
1763322480,23.2,90.7,14789.91,16306.3,17,17909212403,45685324275,0.7
1763322481,26.6,90.8,14800.49,16306.3,17,17909212894,45685325004,0.0
1763322482,24.0,90.7,14797.61,16306.3,18,17909215769,45685330217,0.0
1763322483,25.8,90.7,14796.16,16306.3,12,17909227732,45685347767,0.0
1763322484,28.2,90.7,14793.84,16306.3,14,17909254869,45685965662,0.5
1763322485,23.1,90.8,14803.43,16306.3,14,17909264803,45685967733,0.0
1763322486,23.2,90.8,14803.18,16306.3,15,17909285068,45685978552,0.0
1763322487,18.4,90.8,14802.46,16306.3,15,17909291051,45686291522,0.3
1763322488,20.3,90.8,14798.69,16306.3,15,17909294273,45686292230,0.0
1763322489,24.4,90.8,14805.39,16306.3,15,17909294347,45686292488,0.0
1763322490,22.9,90.8,14799.69,16306.3,15,17909294597,45686292692,0.0
1763322491,18.4,90.8,14801.09,16306.3,15,17909294713,45686293076,0.0
1763322492,18.6,90.8,14800.43,16306.3,15,17909294963,45686293362,0.0
1763322493,17.6,90.8,14800.95,16306.3,14,17909303116,45686864770,0.5
1763322494,21.2,90.8,14801.77,16306.3,14,17909306436,45686865851,0.0
1763322495,20.7,90.8,14801.87,16306.3,14,17909306763,45686866231,0.0
1763322496,22.9,90.8,14800.36,16306.3,14,17909313229,45686867486,0.0
1763322497,19.5,90.8,14799.04,16306.3,14,17909313413,45686867486,0.0
1763322498,21.5,90.8,14812.16,16306.3,14,17909319537,45687224813,0.3
1763322499,25.9,90.7,14784.19,16306.3,13,17909325501,45687227519,0.0
1763322500,46.0,90.5,14757.62,16306.3,13,17909335016,45687393407,0.1
1763322501,37.6,91.0,14844.35,16306.3,13,17909336607,45687400526,0.0
1763322502,29.2,91.5,14915.13,16306.3,13,17909352698,45687402419,0.0
1763322503,24.8,91.9,14981.39,16306.3,14,17909366778,45687415402,0.0
1763322504,18.9,91.8,14970.55,16306.3,13,17909367947,45687440059,0.0
1763322505,17.7,91.8,14965.7,16306.3,12,17909370099,45687440898,0.0
1763322506,20.0,91.6,14933.64,16306.3,14,17909392135,45687833742,0.3
1763322508,18.8,91.5,14919.27,16306.3,14,17909392283,45687834184,0.0
1763322509,27.9,91.5,14920.27,16306.3,13,17909394031,45687835473,0.0
1763322510,26.0,91.5,14919.33,16306.3,13,17909399557,45688036227,0.2
1763322511,19.9,91.4,14908.8,16306.3,13,17909399733,45688036329,0.0
1763322512,21.9,91.4,14906.56,16306.3,13,17909403101,45688037399,0.0
1763322513,26.9,91.4,14900.62,16306.3,13,17909403175,45688037603,0.0
1763322514,27.6,91.4,14906.43,16306.3,13,17909403249,45688037889,0.0
1763322515,20.1,91.4,14910.21,16306.3,13,17909410273,45688482178,0.4
1763322516,23.8,91.5,14912.46,16306.3,13,17909410507,45688482401,0.0
1763322517,23.6,91.5,14916.66,16306.3,13,17909414652,45688482876,0.0
1763322518,19.2,91.4,14911.28,16306.3,13,17909417625,45688483676,0.0
1763322519,22.6,91.4,14911.69,16306.3,13,17909417731,45688483750,0.0
1763322520,22.1,91.5,14918.74,16306.3,12,17909418130,45688484453,0.0
1763322521,19.7,91.5,14914.61,16306.3,12,17909418394,45688484843,0.0
1763322522,19.4,91.5,14914.79,16306.3,12,17909428302,45688923645,0.4
1763322523,18.8,91.5,14921.69,16306.3,12,17909428376,45688923747,0.0
1763322524,19.6,91.5,14923.36,16306.3,12,17909431758,45688924772,0.0
1763322525,88.3,91.5,14916.06,16306.3,12,17909431832,45688924874,0.0
1763322526,100.0,91.4,14906.28,16306.3,12,17909431937,45688924948,0.0
1763322527,100.0,91.3,14893.62,16306.3,12,17909436579,45688925844,0.0
1763322528,100.0,91.4,14901.33,16306.3,14,17909438702,45688926332,0.0
1763322529,100.0,91.4,14898.12,16306.3,12,17909442497,45688986017,0.0
1763322530,100.0,91.4,14904.75,16306.3,13,17909443867,45688990133,0.0
1763322531,99.9,91.4,14904.3,16306.3,14,17909446834,45689226852,0.2
1763322532,100.0,91.4,14901.48,16306.3,14,17909446940,45689226926,0.0
1763322533,100.0,91.4,14900.61,16306.3,14,17909446982,45689227106,0.0
1763322534,76.7,91.4,14897.23,16306.3,11,17909447492,45689227516,0.0
1763322535,31.3,91.4,14908.64,16306.3,11,17909447534,45689227696,0.0
1763322536,32.0,91.4,14902.59,16306.3,10,17909453133,45689228657,0.0
1763322537,33.0,91.4,14900.29,16306.3,10,17909453833,45689229378,0.0
1763322538,31.8,91.4,14898.65,16306.3,10,17909453833,45689229378,0.0
1763322539,34.4,91.4,14899.26,16306.3,10,17909453875,45689229558,0.0
1763322540,33.3,91.4,14900.66,16306.3,10,17909453875,45689229558,0.0
1763322541,32.1,91.4,14909.58,16306.3,10,17909453917,45689229738,0.0
1763322542,33.3,91.4,14904.71,16306.3,10,17909454022,45689229812,0.0
1763322543,31.9,91.4,14910.91,16306.3,10,17909454096,45689229914,0.0
1763322544,25.0,91.4,14902.38,16306.3,11,17909466483,45689249067,0.0
1763322545,20.9,91.4,14907.31,16306.3,11,17909466599,45689249349,0.0
1763322546,20.2,91.4,14896.97,16306.3,11,17909466599,45689249349,0.0
1763322547,66.7,91.4,14898.7,16306.3,11,17909466821,45689249704,0.0
1763322548,100.0,91.3,14885.37,16306.3,11,17909467030,45689249929,0.0
1763322549,99.8,91.3,14885.14,16306.3,11,17909467202,45689250101,0.0
1763322550,100.0,91.3,14893.25,16306.3,11,17909467244,45689250281,0.0
1763322551,100.0,91.3,14892.9,16306.3,11,17909467244,45689250281,0.0
1763322553,100.0,91.4,14910.09,16306.3,12,17909470372,45689251528,0.0
1763322554,100.0,91.5,14926.74,16306.3,12,17909471538,45689258713,0.0
1763322555,100.0,91.4,14910.12,16306.3,12,17909471538,45689258713,0.0
1763322556,100.0,91.5,14914.69,16306.3,14,17909479534,45689337939,0.1
1763322557,100.0,91.4,14904.86,16306.3,13,17909479829,45689338439,0.0
1763322558,100.0,91.5,14912.56,16306.3,13,17909479829,45689338439,0.0
1763322559,100.0,91.2,14866.09,16306.3,13,17909480005,45689338615,0.0
1763322560,100.0,91.1,14856.09,16306.3,13,17909480121,45689338973,0.0
1763322561,99.9,91.1,14851.31,16306.3,13,17909480195,45689339075,0.0
1763322562,100.0,91.1,14860.06,16306.3,13,17909480301,45689339149,0.0
1763322563,100.0,91.0,14846.7,16306.3,13,17909480523,45689339430,0.0
1763322564,100.0,90.8,14810.91,16306.3,13,17909480523,45689339504,0.0
1763322565,67.3,90.8,14812.73,16306.3,13,17909480565,45689339684,0.0
1763322566,18.3,90.9,14817.37,16306.3,13,17909480565,45689339684,0.0
1763322567,19.8,90.8,14805.82,16306.3,14,17909485508,45689352182,0.0
1763322568,19.4,90.8,14805.61,16306.3,14,17909485508,45689352182,0.0
1763322569,19.7,90.7,14792.46,16306.3,14,17909485550,45689352362,0.0
1763322570,20.3,90.7,14791.87,16306.3,14,17909485550,45689352362,0.0
1763322571,18.8,90.7,14795.72,16306.3,14,17909497079,45689387458,0.0
1763322572,19.2,90.8,14800.88,16306.3,14,17909497239,45689387598,0.0
1763322573,18.3,90.8,14803.01,16306.3,14,17909497239,45689387598,0.0
1763322574,20.1,90.7,14793.52,16306.3,14,17909497355,45689387956,0.0
1763322575,19.0,90.8,14804.12,16306.3,14,17909497429,45689388058,0.0
1763322576,19.0,90.8,14803.72,16306.3,14,17909509739,45689394610,0.0
1763322577,18.5,90.7,14796.06,16306.3,14,17909509919,45689394786,0.0
1763322578,18.6,90.7,14795.38,16306.3,14,17909510067,45689395040,0.0
1763322579,19.3,90.8,14805.32,16306.3,14,17909510215,45689395243,0.0
1763322580,18.5,90.8,14801.48,16306.3,14,17909510331,45689395525,0.0
1763322581,21.8,90.8,14809.93,16306.3,14,17909510859,45689396025,0.0
1763322582,23.2,90.8,14809.96,16306.3,13,17909511135,45689396746,0.0
1763322583,26.3,91.2,14866.38,16306.3,13,17909511209,45689396848,0.0
1763322585,17.1,90.9,14826.19,16306.3,12,17909511399,45689397274,0.0
1763322586,11.9,90.9,14826.43,16306.3,12,17909511473,45689397376,0.0
1763322587,14.1,91.1,14863.19,16306.3,12,17909511673,45689397798,0.0
1763322588,15.4,91.1,14861.46,16306.3,12,17909511673,45689397798,0.0
1763322589,15.8,91.1,14858.31,16306.3,12,17909511778,45689397872,0.0
1763322590,10.5,91.1,14857.05,16306.3,12,17909511996,45689398304,0.0
1763322591,13.7,91.1,14857.24,16306.3,14,17909527450,45689412325,0.0
1763322592,13.2,91.2,14864.7,16306.3,14,17909527524,45689412427,0.0
1763322593,12.5,91.2,14871.55,16306.3,14,17909527852,45689413946,0.0
1763322594,9.5,91.2,14866.54,16306.3,14,17909528000,45689414200,0.0
1763322595,13.3,91.2,14868.06,16306.3,14,17909528177,45689414452,0.0
1763322596,16.5,91.2,14876.31,16306.3,14,17909536995,45689416047,0.0
1763322597,11.3,91.2,14867.46,16306.3,14,17909537143,45689416251,0.0
1763322598,11.7,91.2,14868.72,16306.3,14,17909537991,45689417110,0.0
1763322599,12.7,91.2,14873.34,16306.3,14,17909538046,45689417176,0.0
1763322600,11.3,91.2,14873.35,16306.3,14,17909538120,45689417278,0.0
1763322601,13.8,91.2,14867.96,16306.3,14,17909538269,45689417466,0.0
1763322602,12.2,91.1,14855.32,16306.3,14,17909538385,45689417910,0.0
1763322603,16.0,91.1,14860.76,16306.3,14,17909538533,45689418114,0.0
1763322604,12.0,91.1,14858.7,16306.3,14,17909539612,45689419263,0.0
1763322605,9.2,91.1,14860.39,16306.3,13,17909543065,45689425097,0.0
1763322606,11.4,91.1,14860.78,16306.3,13,17909550046,45689425199,0.0
1763322607,15.4,91.1,14862.41,16306.3,13,17909562329,45689433393,0.0
1763322608,12.6,91.1,14860.86,16306.3,13,17909562519,45689433837,0.0
1763322609,13.2,91.1,14859.92,16306.3,13,17909562785,45689434099,0.0
1763322610,13.5,91.1,14859.07,16306.3,13,17909563007,45689434404,0.0
1763322611,13.2,91.1,14859.21,16306.3,13,17909563123,45689434746,0.0
1763322612,12.4,91.1,14858.61,16306.3,13,17909563197,45689434848,0.0
1763322613,14.8,91.1,14860.27,16306.3,12,17909563453,45689435106,0.0
1763322614,11.9,91.0,14831.96,16306.3,12,17909563569,45689435388,0.0
1763322615,12.0,90.9,14828.73,16306.3,12,17909563643,45689435592,0.0
1763322616,13.1,90.9,14827.1,16306.3,12,17909563791,45689435694,0.0
1763322617,12.3,90.9,14826.34,16306.3,12,17909565587,45689436362,0.0
1763322618,10.9,90.9,14827.25,16306.3,12,17909565661,45689436464,0.0
1763322619,13.2,90.9,14828.53,16306.3,12,17909565837,45689436640,0.0
1763322620,13.5,91.0,14833.55,16306.3,12,17909566235,45689437325,0.0
1763322621,12.9,91.0,14831.86,16306.3,12,17909566531,45689437733,0.0
1763322622,10.7,91.0,14831.57,16306.3,12,17909566785,45689438113,0.0
1763322623,11.1,90.8,14808.03,16306.3,11,17909566901,45689438469,0.0
1763322624,12.5,90.9,14815.35,16306.3,11,17909567155,45689438856,0.0
1763322625,13.9,90.9,14815.29,16306.3,11,17909567229,45689439060,0.0
1763322626,10.3,90.8,14813.16,16306.3,11,17909567493,45689439545,0.0
1763322627,9.5,90.8,14814.19,16306.3,11,17909567641,45689439749,0.0
1763322628,11.2,90.8,14814.09,16306.3,12,17909572765,45689451929,0.0
1763322629,13.1,90.9,14817.96,16306.3,12,17909572839,45689452097,0.0
1763322630,15.7,90.9,14824.27,16306.3,12,17909572913,45689452199,0.0
1763322631,13.9,90.9,14827.49,16306.3,12,17909572987,45689452301,0.0
1763322632,12.0,90.9,14825.17,16306.3,12,17909573084,45689452547,0.0
1763322633,11.6,90.9,14825.73,16306.3,12,17909575482,45689462628,0.0
1763322634,9.8,90.9,14824.94,16306.3,12,17909575556,45689462730,0.0
1763322635,10.7,90.9,14824.45,16306.3,12,17909575859,45689463294,0.0
1763322636,10.3,90.9,14824.74,16306.3,12,17909575859,45689463294,0.0
1763322637,12.5,90.9,14820.39,16306.3,12,17909575965,45689463368,0.0
1763322638,12.4,90.9,14814.39,16306.3,12,17909576081,45689463650,0.0
1763322639,10.2,90.9,14815.26,16306.3,12,17909576335,45689463928,0.0
1763322640,11.8,90.9,14818.46,16306.3,12,17909576557,45689464234,0.0
1763322641,10.8,90.9,14817.04,16306.3,11,17909577044,45689465057,0.0
1763322642,11.3,90.9,14817.03,16306.3,11,17909577221,45689465261,0.0
1763322643,13.0,90.9,14818.25,16306.3,11,17909584204,45689465964,0.0
1763322644,11.2,90.9,14828.88,16306.3,11,17909584353,45689466158,0.0
1763322645,10.8,90.9,14826.86,16306.3,10,17909590739,45689466517,0.0
1763322646,10.1,90.9,14818.52,16306.3,10,17909609649,45689474121,0.0
1763322647,10.8,90.9,14822.45,16306.3,10,17909609872,45689474922,0.0
1763322648,15.6,91.1,14857.38,16306.3,10,17909616110,45689474922,0.0
1763322649,12.9,91.2,14865.42,16306.3,10,17909623024,45689475174,0.0
