ts,cpu_percent,memory_percent,memory_used_mb,memory_total_mb,tcp_established,bytes_sent,bytes_recv,network_usage_percent
1763322891,0.0,91.9,14982.24,16306.3,12,17912047315,45905757661,0.0
1763322892,13.7,91.9,14979.67,16306.3,12,17912050123,45905758123,0.0
1763322893,14.3,91.8,14976.34,16306.3,12,17912063747,45906878674,0.9
1763322894,10.9,91.9,14979.57,16306.3,12,17912063853,45906878748,0.0
1763322895,12.9,91.9,14981.19,16306.3,12,17912063853,45906878748,0.0
1763322896,9.0,91.9,14983.24,16306.3,11,17912063895,45906878928,0.0
1763322897,9.4,91.8,14970.32,16306.3,11,17912070447,45906879500,0.0
1763322898,12.9,91.8,14975.96,16306.3,11,17912080888,45907558261,0.5
1763322899,11.8,91.9,14986.0,16306.3,11,17912080930,45907558441,0.0
1763322900,11.0,91.9,14986.64,16306.3,11,17912081035,45907558515,0.0
1763322901,12.0,91.8,14967.57,16306.3,11,17912091125,45908231592,0.5
1763322902,10.5,91.8,14968.19,16306.3,11,17912091167,45908231772,0.0
1763322903,10.6,91.8,14967.57,16306.3,11,17912091167,45908231772,0.0
1763322904,10.0,91.8,14966.88,16306.3,11,17912091241,45908231874,0.0
1763322905,10.1,91.8,14964.14,16306.3,11,17912091486,45908232400,0.0
1763322906,17.0,91.6,14934.86,16306.3,11,17912107949,45909118414,0.7
1763322907,16.6,91.6,14943.05,16306.3,11,17912114347,45909119002,0.0
1763322908,17.2,91.8,14965.98,16306.3,11,17912116996,45909121278,0.0
1763322909,11.4,91.5,14927.64,16306.3,11,17912118229,45909121750,0.0
1763322910,12.7,91.5,14926.3,16306.3,11,17912130878,45910229260,0.9
1763322911,13.9,91.6,14935.1,16306.3,11,17912130920,45910229440,0.0
1763322912,17.6,91.9,14992.64,16306.3,11,17912130920,45910229440,0.0
1763322913,23.9,92.2,15029.76,16306.3,11,17912134162,45910231291,0.0
1763322914,22.5,92.3,15046.48,16306.3,11,17912134204,45910231471,0.0
1763322915,20.1,92.2,15033.17,16306.3,11,17912134690,45910231471,0.0
1763322916,20.3,92.2,15030.08,16306.3,12,17912140288,45910531161,0.2
1763322917,18.3,92.0,15005.39,16306.3,12,17912156335,45911380673,0.7
1763322918,21.4,92.0,15005.8,16306.3,12,17912156438,45911380824,0.0
1763322919,20.8,92.0,15002.4,16306.3,12,17912156540,45911380898,0.0
1763322920,16.9,92.0,14996.24,16306.3,12,17912176373,45911811251,0.4
1763322921,11.2,91.9,14988.55,16306.3,12,17912176657,45911813213,0.0
1763322922,11.3,91.9,14986.32,16306.3,12,17912176911,45911813393,0.0
1763322923,20.4,91.5,14923.18,16306.3,12,17912176985,45911813580,0.0
1763322924,19.1,91.6,14928.44,16306.3,12,17912188231,45912572964,0.6
1763322925,21.5,91.6,14935.33,16306.3,12,17912188231,45912572964,0.0
1763322926,25.1,91.7,14960.79,16306.3,12,17912213003,45912592249,0.0
1763322927,21.6,91.8,14966.88,16306.3,12,17912227126,45913204538,0.5
1763322928,30.1,92.3,15056.51,16306.3,12,17912258919,45913238483,0.1
1763322929,29.7,92.3,15057.23,16306.3,12,17912259323,45913246461,0.0
1763322930,20.7,92.3,15048.43,16306.3,12,17912269222,45913878108,0.5
1763322931,22.4,92.2,15030.59,16306.3,14,17912272943,45913881728,0.0
1763322932,30.1,92.1,15023.12,16306.3,14,17912273176,45913882108,0.0
1763322933,30.7,92.1,15023.23,16306.3,14,17912274312,45913882674,0.0
1763322934,34.7,92.1,15016.66,16306.3,14,17912274312,45913882852,0.0
1763322935,31.6,92.1,15018.09,16306.3,14,17912277893,45913918384,0.0
1763322936,33.6,92.1,15023.63,16306.3,14,17912289728,45914914860,0.8
1763322937,26.0,92.2,15034.51,16306.3,14,17912296366,45914915574,0.0
1763322938,34.3,92.1,15025.59,16306.3,14,17912296366,45914915574,0.0
1763322939,34.0,92.1,15023.04,16306.3,14,17912296620,45914915851,0.0
1763322940,29.3,92.2,15038.07,16306.3,14,17912311834,45915956751,0.8
1763322941,27.0,92.3,15054.16,16306.3,14,17912311876,45915956931,0.0
1763322942,25.7,92.2,15040.66,16306.3,14,17912311950,45915957033,0.0
1763322943,24.9,92.1,15016.65,16306.3,14,17912312214,45915957561,0.0
1763322944,20.6,92.2,15031.99,16306.3,14,17912312300,45915957561,0.0
1763322945,19.9,92.0,14998.7,16306.3,14,17912312625,45915958173,0.0
1763322946,21.5,91.9,14991.55,16306.3,12,17912312699,45915958275,0.0
1763322947,20.9,91.8,14971.52,16306.3,12,17912317168,45915959069,0.0
1763322948,21.6,91.8,14972.04,16306.3,12,17912337140,45917537639,1.3
1763322949,21.2,91.8,14970.48,16306.3,12,17912338456,45917538290,0.0
1763322950,21.4,91.8,14970.19,16306.3,12,17912339645,45917542630,0.0
1763322951,31.2,91.7,14950.09,16306.3,13,17912339719,45917542732,0.0
1763322952,22.0,91.7,14950.24,16306.3,13,17912340089,45917543292,0.0
1763322953,20.2,91.7,14949.41,16306.3,13,17912341604,45917543843,0.0
1763322954,19.3,91.7,14947.79,16306.3,13,17912352039,45918339601,0.6
1763322955,19.8,91.6,14940.71,16306.3,13,17912352147,45918339733,0.0
1763322956,23.0,91.7,14945.27,16306.3,12,17912358267,45918340202,0.0
1763322957,24.0,91.8,14966.84,16306.3,12,17912358516,45918340713,0.0
1763322958,21.8,91.6,14931.81,16306.3,12,17912358632,45918340995,0.0
1763322959,18.8,91.4,14906.02,16306.3,12,17912358740,45918341109,0.0
1763322960,20.4,91.5,14914.33,16306.3,12,17912358888,45918341313,0.0
1763322961,28.6,91.8,14976.27,16306.3,12,17912377890,45919481499,0.9
1763322962,22.3,91.6,14944.42,16306.3,12,17912382206,45919482251,0.0
1763322963,20.8,91.9,14987.8,16306.3,12,17912383689,45919488697,0.0
1763322964,20.3,91.9,14982.6,16306.3,12,17912383879,45919489259,0.0
1763322965,22.5,92.0,15004.56,16306.3,12,17912384027,45919489361,0.0
1763322966,22.9,91.9,14985.46,16306.3,13,17912400324,45920354848,0.7
1763322967,22.7,91.9,14986.29,16306.3,13,17912403279,45920355512,0.0
1763322968,18.5,91.9,14980.8,16306.3,13,17912407993,45920355839,0.0
1763322969,18.9,91.8,14972.42,16306.3,13,17912408141,45920356043,0.0
1763322970,19.2,91.8,14973.82,16306.3,13,17912414648,45920692271,0.3
1763322972,20.8,91.9,14979.66,16306.3,13,17912418940,45921147378,0.4
1763322973,19.1,91.7,14953.35,16306.3,13,17912419014,45921147480,0.0
1763322974,18.7,91.8,14965.18,16306.3,13,17912419130,45921147762,0.0
1763322975,19.0,91.7,14954.29,16306.3,13,17912419426,45921148212,0.0
1763322976,66.4,91.7,14956.11,16306.3,13,17912419574,45921148416,0.0
1763322977,100.0,91.8,14969.63,16306.3,12,17912436767,45922325079,0.9
1763322978,99.9,91.8,14969.62,16306.3,12,17912436841,45922325181,0.0
1763322979,100.0,91.8,14970.16,16306.3,12,17912437122,45922325431,0.0
1763322980,100.0,91.8,14974.3,16306.3,12,17912437312,45922325891,0.0
1763322981,100.0,91.9,14980.51,16306.3,12,17912437609,45922326283,0.0
1763322982,100.0,91.7,14954.67,16306.3,12,17912437863,45922326561,0.0
1763322983,100.0,91.8,14963.78,16306.3,12,17912449759,45923337035,0.8
1763322984,99.9,91.7,14958.09,16306.3,12,17912450121,45923337601,0.0
1763322985,100.0,91.8,14963.98,16306.3,12,17912453223,45923338444,0.0
1763322986,99.9,91.8,14967.82,16306.3,12,17912456542,45923343717,0.0
1763322987,74.3,91.8,14968.45,16306.3,12,17912467646,45923354534,0.0
1763322988,24.1,92.0,14995.27,16306.3,12,17912473440,45923678266,0.3
1763322989,24.5,91.5,14922.16,16306.3,12,17912481566,45923689479,0.0
1763322990,33.4,91.4,14908.27,16306.3,12,17912481671,45923691097,0.0
1763322991,20.1,91.5,14914.68,16306.3,12,17912481799,45923691363,0.0
1763322992,19.9,91.5,14921.31,16306.3,13,17912483573,45923694258,0.0
1763322993,16.0,91.5,14915.12,16306.3,13,17912493882,45924341743,0.5
1763322994,15.4,91.4,14899.14,16306.3,13,17912497092,45924342555,0.0
